Age,Speed,RoadUserConditions,PartyType,CrashTime,RoadConditions,Lighting,Weather,Injuries
16-20,over speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,0
41-50,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Cloudy,0
51-60,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Cloudy,0
21-30,over speed limits,Had Been Drinking,Car,13-17,Dry,Dusk - Dawn,Clear,0
51-60,under speed limits,Not Altered,Car,13-17,Dry,Dusk - Dawn,Clear,0
41-50,under speed limits,Not Altered,Truck,18-21,Dry,Dark - Street Light,Clear,1
16-20,over speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,0
31-40,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,0
31-40,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,0
21-30,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,0
21-30,under speed limits,Not Altered,Train,18-21,Dry,Dark - Street Light,Clear,0
21-30,over speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
31-40,over speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
21-30,under speed limits,Not Altered,Motorcycle,07-12,Dry,Daylight,Clear,1
41-50,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,1
21-30,under speed limits,Not Altered,Truck,13-17,Dry,Daylight,Cloudy,0
21-30,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,0
31-40,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,0
51-60,under speed limits,Not Altered,Car,18-21,Dry,Dusk - Dawn,Clear,0
16-20,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Cloudy,1
61-70,over speed limits,Not Altered,Car,07-12,Dry,Daylight,Cloudy,0
41-50,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
71-80,under speed limits,Not Altered,Vulnerable Users,13-17,Dry,Daylight,Clear,0
31-40,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Cloudy,0
41-50,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
41-50,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
21-30,under speed limits,Had Been Drinking,Vulnerable Users,18-21,Dry,Dark - No Street Light,Clear,1
21-30,under speed limits,Not Altered,Car,18-21,Dry,Dark - No Street Light,Clear,1
21-30,under speed limits,Not Altered,Car,22-24,Dry,Dark - Street Light,Clear,0
31-40,under speed limits,Not Altered,Car,22-24,Dry,Dark - Street Light,Clear,0
>80,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,0
61-70,under speed limits,Not Altered,Car,13-17,Dry,Dusk - Dawn,Clear,0
21-30,under speed limits,Not Altered,Bus,13-17,Dry,Dusk - Dawn,Clear,0
21-30,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Cloudy,0
61-70,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Cloudy,0
21-30,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Cloudy,0
61-70,under speed limits,Had Been Drinking,Car,07-12,Dry,Daylight,Clear,0
61-70,under speed limits,Had Been Drinking,Car,07-12,Dry,Daylight,Clear,0
16-20,under speed limits,Not Altered,Car,13-17,Dry,Dark - Street Light,Clear,1
41-50,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Cloudy,0
41-50,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,1
71-80,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,0
51-60,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,0
31-40,under speed limits,Not Altered,Car,01-06,Dry,Dark - Street Light,Clear,0
41-50,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,0
1-15,under speed limits,Not Altered,Vulnerable Users,13-17,Dry,Daylight,Clear,0
16-20,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
16-20,under speed limits,Had Been Drinking,Car,01-06,Dry,Dark - Street Light,Clear,0
41-50,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
21-30,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,1
41-50,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,1
31-40,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
31-40,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
51-60,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
16-20,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,1
41-50,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,1
31-40,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,1
21-30,under speed limits,Not Altered,Motorcycle,13-17,Dry,Daylight,Clear,1
61-70,over speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,0
31-40,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,0
31-40,over speed limits,Had Been Drinking,Car,07-12,Dry,Daylight,Clear,0
41-50,under speed limits,Not Altered,Vulnerable Users,07-12,Dry,Daylight,Clear,0
21-30,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
31-40,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
41-50,under speed limits,Not Altered,Car,13-17,Dry,Dusk - Dawn,Clear,0
31-40,under speed limits,Not Altered,Motorcycle,13-17,Dry,Dusk - Dawn,Clear,0
31-40,over speed limits,Had Been Drinking,Car,18-21,Dry,Dark - Street Light,Cloudy,0
21-30,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
21-30,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
31-40,under speed limits,Not Altered,Car,13-17,Dry,Dark - Street Light,Clear,0
21-30,over speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
31-40,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
21-30,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,1
61-70,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,1
16-20,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,0
41-50,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,0
>80,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
21-30,over speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
21-30,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
51-60,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
21-30,under speed limits,Had Been Drinking,Car,22-24,Dry,Dark - Street Light,Clear,0
21-30,over speed limits,Not Altered,Car,01-06,Dry,Dark - Street Light,Clear,1
31-40,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
51-60,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
31-40,over speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
21-30,over speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,0
16-20,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,0
31-40,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,0
31-40,under speed limits,Had Been Drinking,Vulnerable Users,18-21,Dry,Dark - Street Light,Clear,1
31-40,under speed limits,Not Altered,Truck,18-21,Dry,Dark - Street Light,Clear,1
51-60,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,1
41-50,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,1
21-30,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,1
16-20,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
51-60,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
41-50,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
61-70,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
21-30,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
31-40,under speed limits,Not Altered,Car,07-12,Wet,Daylight,Clear,1
16-20,under speed limits,Not Altered,Vulnerable Users,07-12,Wet,Daylight,Clear,1
21-30,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
71-80,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
31-40,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
41-50,over speed limits,Had Been Drinking,Car,01-06,Dry,Dark - Street Light,Clear,1
31-40,over speed limits,Had Been Drinking,Car,01-06,Dry,Dark - Street Light,Clear,1
16-20,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
16-20,over speed limits,Not Altered,Vulnerable Users,18-21,Dry,Dark - Street Light,Clear,0
71-80,under speed limits,Had Been Drinking,Truck,07-12,Dry,Daylight,Clear,0
21-30,under speed limits,Sleepy/Fatigued,Car,07-12,Dry,Daylight,Clear,0
51-60,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,1
31-40,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,1
51-60,under speed limits,Not Altered,Car,13-17,Dry,Dusk - Dawn,Clear,0
61-70,under speed limits,Not Altered,Car,13-17,Dry,Dusk - Dawn,Clear,0
21-30,under speed limits,Had Been Drinking,Car,18-21,Dry,Dark - No Street Light,Clear,1
41-50,under speed limits,Not Altered,Car,18-21,Dry,Dark - No Street Light,Clear,1
21-30,under speed limits,Not Altered,Car,18-21,Dry,Dark - No Street Light,Clear,1
51-60,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,1
31-40,over speed limits,Not Altered,Truck,18-21,Dry,Dark - Street Light,Clear,0
21-30,under speed limits,Not Altered,Car,22-24,Dry,Dark - Street Light,Clear,0
41-50,under speed limits,Not Altered,Car,22-24,Dry,Dark - Street Light,Clear,0
21-30,over speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
21-30,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
16-20,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,1
31-40,under speed limits,Not Altered,Vulnerable Users,13-17,Dry,Daylight,Clear,1
61-70,over speed limits,Had Been Drinking,Car,18-21,Dry,Dark - Street Light,Clear,0
61-70,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,0
41-50,under speed limits,Not Altered,Car,22-24,Dry,Dark - Street Light,Wind,0
51-60,over speed limits,Had Been Drinking,Truck,07-12,Dry,Daylight,Clear,1
51-60,under speed limits,Had Been Drinking,Car,07-12,Dry,Daylight,Clear,0
61-70,under speed limits,Had Been Drinking,Truck,07-12,Dry,Daylight,Clear,0
31-40,over speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
41-50,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
51-60,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,1
31-40,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,0
21-30,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,0
31-40,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
41-50,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
61-70,under speed limits,Not Altered,Car,13-17,Dry,Dusk - Dawn,Cloudy,0
16-20,under speed limits,Not Altered,Car,13-17,Dry,Dusk - Dawn,Cloudy,0
21-30,under speed limits,Had Been Drinking,Car,13-17,Dry,Dusk - Dawn,Clear,0
21-30,under speed limits,Had Been Drinking,Car,13-17,Dry,Dusk - Dawn,Clear,0
41-50,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,1
21-30,under speed limits,Not Altered,Car,01-06,Dry,Dark - No Street Light,Clear,0
51-60,under speed limits,Had Been Drinking,Car,13-17,Wet,Daylight,Cloudy,0
51-60,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,1
41-50,under speed limits,Not Altered,Vulnerable Users,13-17,Dry,Daylight,Clear,1
31-40,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
31-40,under speed limits,Not Altered,Motorcycle,07-12,Dry,Daylight,Clear,0
31-40,under speed limits,Not Altered,Vulnerable Users,13-17,Dry,Dusk - Dawn,Clear,1
51-60,under speed limits,Not Altered,Car,01-06,Dry,Dark - Street Light,Clear,1
31-40,over speed limits,Had Been Drinking,Car,07-12,Dry,Daylight,Clear,0
41-50,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
51-60,over speed limits,Not Altered,Truck,22-24,Dry,Dark - Street Light,Clear,0
51-60,under speed limits,Not Altered,Truck,22-24,Dry,Dark - Street Light,Clear,0
31-40,under speed limits,Not Altered,Car,22-24,Dry,Dark - Street Light,Clear,0
31-40,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
21-30,over speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,1
41-50,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,1
41-50,over speed limits,Not Altered,Car,13-17,Dry,Daylight,Cloudy,0
71-80,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Cloudy,0
71-80,under speed limits,Not Altered,Car,13-17,Wet,Dark - Street Light,Cloudy,0
41-50,under speed limits,Not Altered,Truck,13-17,Wet,Dusk - Dawn,Clear,1
21-30,over speed limits,Not Altered,Car,18-21,Wet,Dark - Street Light,Rain,0
31-40,under speed limits,Had Been Drinking,Vulnerable Users,18-21,Wet,Dark - Street Light,Cloudy,0
21-30,under speed limits,Not Altered,Truck,18-21,Wet,Dark - Street Light,Cloudy,0
71-80,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
61-70,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
41-50,under speed limits,Had Been Drinking,Car,07-12,Dry,Daylight,Cloudy,0
51-60,over speed limits,Had Been Drinking,Car,18-21,Dry,Dark - Street Light,Cloudy,1
16-20,over speed limits,Not Altered,Truck,01-06,Dry,Dark - Street Light,Clear,1
21-30,under speed limits,Sleepy/Fatigued,Car,01-06,Dry,Dusk - Dawn,Cloudy,0
71-80,over speed limits,Not Altered,Car,13-17,Wet,Daylight,Rain,1
51-60,under speed limits,Had Been Drinking,Car,18-21,Wet,Dark - Street Light,Rain,0
31-40,under speed limits,Not Altered,Car,18-21,Wet,Dark - Street Light,Rain,0
41-50,under speed limits,Had Been Drinking,Car,18-21,Wet,Dark - Street Light,Rain,1
61-70,under speed limits,Not Altered,Truck,01-06,Dry,Dusk - Dawn,Clear,0
61-70,under speed limits,Not Altered,Car,07-12,Dry,Dark - Street Light,Clear,0
31-40,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
21-30,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
31-40,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
51-60,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
21-30,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
41-50,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Cloudy,1
21-30,over speed limits,Had Been Drinking,Car,22-24,Dry,Dark - Street Light,Wind,0
21-30,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,1
51-60,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,1
51-60,under speed limits,Not Altered,Truck,07-12,Dry,Daylight,Clear,0
31-40,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
16-20,under speed limits,Not Altered,Truck,13-17,Wet,Daylight,Rain,0
61-70,under speed limits,Not Altered,Truck,13-17,Wet,Daylight,Rain,0
21-30,under speed limits,Not Altered,Car,13-17,Wet,Daylight,Rain,0
61-70,under speed limits,Not Altered,Car,13-17,Wet,Daylight,Rain,0
>80,under speed limits,Not Altered,Car,13-17,Wet,Daylight,Rain,0
31-40,under speed limits,Had Been Drinking,Car,22-24,Wet,Dark - Street Light,Rain,0
41-50,under speed limits,Not Altered,Car,22-24,Wet,Dark - Street Light,Rain,0
31-40,under speed limits,Had Been Drinking,Car,13-17,Wet,Dark - Street Light,Rain,0
51-60,under speed limits,Not Altered,Car,13-17,Wet,Dark - Street Light,Rain,0
21-30,under speed limits,Not Altered,Car,13-17,Wet,Dark - Street Light,Rain,0
41-50,under speed limits,Not Altered,Car,18-21,Wet,Dark - Street Light,Rain,0
41-50,under speed limits,Not Altered,Car,18-21,Wet,Dark - Street Light,Rain,1
61-70,under speed limits,Not Altered,Vulnerable Users,18-21,Wet,Dark - Street Light,Rain,1
71-80,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
16-20,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
51-60,under speed limits,Not Altered,Car,13-17,Dry,Dusk - Dawn,Clear,0
16-20,under speed limits,Had Been Drinking,Truck,07-12,Wet,Daylight,Rain,0
41-50,under speed limits,Had Been Drinking,Car,07-12,Wet,Daylight,Rain,0
41-50,over speed limits,Not Altered,Car,13-17,Wet,Daylight,Rain,0
61-70,under speed limits,Not Altered,Car,13-17,Wet,Daylight,Rain,0
31-40,under speed limits,Not Altered,Car,18-21,Wet,Dark - Street Light,Rain,1
31-40,under speed limits,Not Altered,Car,18-21,Wet,Dark - Street Light,Rain,1
41-50,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
61-70,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
41-50,over speed limits,Not Altered,Car,01-06,Wet,Dark - No Street Light,Cloudy,1
31-40,over speed limits,Not Altered,Car,01-06,Wet,Dark - No Street Light,Cloudy,1
31-40,under speed limits,Not Altered,Truck,07-12,Wet,Dusk - Dawn,Clear,1
21-30,under speed limits,Not Altered,Vulnerable Users,07-12,Wet,Dusk - Dawn,Clear,1
31-40,over speed limits,Not Altered,Car,13-17,Dry,Daylight,Cloudy,1
31-40,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Cloudy,1
41-50,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Cloudy,1
21-30,over speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
41-50,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
21-30,over speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,0
21-30,under speed limits,Not Altered,Car,22-24,Dry,Dark - Street Light,Clear,0
21-30,under speed limits,Not Altered,Car,01-06,Dry,Dark - Street Light,Clear,0
31-40,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
61-70,under speed limits,Not Altered,Truck,13-17,Dry,Daylight,Clear,0
21-30,over speed limits,Had Been Drinking,Car,13-17,Dry,Daylight,Clear,0
41-50,under speed limits,Not Altered,Car,13-17,Dry,Dark - Street Light,Clear,0
31-40,under speed limits,Not Altered,Car,13-17,Dry,Dark - Street Light,Clear,0
41-50,over speed limits,Had Been Drinking,Car,22-24,Dry,Dark - Street Light,Clear,0
21-30,under speed limits,Not Altered,Car,22-24,Dry,Dark - Street Light,Clear,0
21-30,over speed limits,Not Altered,Car,01-06,Dry,Dark - No Street Light,Clear,0
31-40,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Cloudy,0
41-50,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
61-70,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
41-50,under speed limits,Not Altered,Truck,18-21,Dry,Dark - Street Light,Clear,0
41-50,over speed limits,Had Been Drinking,Car,22-24,Dry,Dark - Street Light,Clear,1
21-30,under speed limits,Had Been Drinking,Car,22-24,Dry,Dark - Street Light,Clear,1
16-20,under speed limits,Not Altered,Vulnerable Users,13-17,Dry,Dark - Street Light,Clear,1
21-30,under speed limits,Not Altered,Car,13-17,Dry,Dark - Street Light,Clear,1
16-20,under speed limits,Had Been Drinking,Car,22-24,Dry,Dark - Street Light,Clear,0
21-30,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
61-70,under speed limits,Not Altered,Train,13-17,Dry,Daylight,Clear,0
71-80,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
21-30,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,0
21-30,over speed limits,Had Been Drinking,Car,18-21,Dry,Dark - Street Light,Clear,0
71-80,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
31-40,under speed limits,Not Altered,Motorcycle,07-12,Dry,Daylight,Clear,0
31-40,over speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
51-60,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
31-40,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
41-50,under speed limits,Not Altered,Truck,07-12,Dry,Daylight,Clear,0
1-15,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Cloudy,1
31-40,under speed limits,Not Altered,Truck,18-21,Dry,Dark - Street Light,Clear,0
21-30,over speed limits,Not Altered,Car,01-06,Dry,Dark - Street Light,Clear,0
41-50,under speed limits,Not Altered,Car,01-06,Dry,Dark - Street Light,Clear,0
16-20,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,1
31-40,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,1
21-30,under speed limits,Not Altered,Truck,07-12,Dry,Daylight,Clear,1
41-50,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
51-60,under speed limits,Had Been Drinking,Car,07-12,Dry,Daylight,Clear,0
16-20,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
71-80,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,0
41-50,over speed limits,Not Altered,Truck,18-21,Dry,Dark - Street Light,Clear,0
21-30,under speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,0
51-60,under speed limits,Had Been Drinking,Car,22-24,Dry,Dark - Street Light,Clear,0
31-40,under speed limits,Had Been Drinking,Car,22-24,Dry,Dark - Street Light,Clear,1
16-20,under speed limits,Not Altered,Car,22-24,Dry,Dark - Street Light,Clear,1
16-20,under speed limits,Not Altered,Car,01-06,Dry,Dark - Street Light,Clear,0
21-30,over speed limits,Had Been Drinking,Car,01-06,Dry,Dark - Street Light,Clear,1
16-20,under speed limits,Not Altered,Vulnerable Users,07-12,Dry,Daylight,Clear,0
21-30,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
41-50,under speed limits,Not Altered,Car,01-06,Dry,Dark - Street Light,Clear,0
61-70,under speed limits,Not Altered,Vulnerable Users,07-12,Dry,Daylight,Clear,1
31-40,under speed limits,Not Altered,Motorcycle,13-17,Dry,Daylight,Clear,1
51-60,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,1
21-30,under speed limits,Not Altered,Motorcycle,13-17,Dry,Daylight,Clear,1
41-50,under speed limits,Not Altered,Truck,13-17,Dry,Daylight,Clear,1
21-30,over speed limits,Not Altered,Truck,13-17,Wet,Daylight,Rain,0
61-70,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,1
61-70,under speed limits,Not Altered,Vulnerable Users,07-12,Dry,Daylight,Clear,1
41-50,under speed limits,Not Altered,Truck,18-21,Dry,Dusk - Dawn,Clear,0
21-30,under speed limits,Had Been Drinking,Car,18-21,Dry,Dark - Street Light,Clear,0
51-60,under speed limits,Had Been Drinking,Car,18-21,Dry,Dark - Street Light,Clear,0
41-50,over speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
41-50,under speed limits,Not Altered,Vulnerable Users,07-12,Dry,Daylight,Clear,1
71-80,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,1
51-60,under speed limits,Not Altered,Car,07-12,Dry,Daylight,Clear,0
51-60,over speed limits,Had Been Drinking,Car,13-17,Dry,Daylight,Clear,1
31-40,under speed limits,Had Been Drinking,Car,13-17,Dry,Daylight,Clear,1
41-50,under speed limits,Had Been Drinking,Car,13-17,Dry,Daylight,Clear,1
21-30,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,1
71-80,under speed limits,Not Altered,Car,13-17,Dry,Daylight,Clear,1
51-60,over speed limits,Not Altered,Car,18-21,Dry,Dark - Street Light,Clear,1
