"CrashFactId","Name","MinorInjuries","ModerateInjuries","SevereInjuries","FatalInjuries","TcrNumber","CityDamageFlag","ShortFormFlag","Distance","CrashDateTime","PedestrianAction","RoadwaySurface","RoadwayCondition","Lighting","PrimaryCollisionFactor","TrafficControl","Weather","CollisionType","ProximityToIntersection","VehicleInvolvedWith","PedestrianDirectionFrom","PedestrianDirectionTo","DirectionFromIntersection","Comment"
"649339","CR-0000085219","0","0","0","0","21-002-0253","False","False","285","1/1/2021 1:30:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Unknown","Controls Functioning","Clear","Rear End","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","South Of",""
"649368","CR-0000085220","0","0","0","0","21-001-0325","False","False","51","1/1/2021 9:29:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","No Controls Present/Factor","Clear","Broadside","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","South Of",""
"649369","CR-0000085222","0","0","0","0","21-004-9709","False","True","","1/1/2021 1:15:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","Controls Functioning","Clear","Rear End","Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"649370","CR-0000085225","0","0","0","0","21-002-0483","False","False","0","1/2/2021 3:20:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dusk - Dawn","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"649371","CR-0000085226","0","0","0","0","21-003-4001","False","True","51","1/2/2021 5:00:00 AM","No Pedestrians Involved","Unknown","Unknown","Dusk - Dawn","Unknown","Unknown","Unknown","Other","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","West Of",""
"649372","CR-0000085227","0","0","0","0","21-002-4002","False","True","51","1/2/2021 12:15:00 PM","No Pedestrians Involved","Unknown","Unknown","Daylight","Unknown","Unknown","Unknown","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","North Of",""
"649373","CR-0000085228","0","0","0","0","21-003-0866","False","False","50","1/3/2021 10:26:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Rear End","Related","Parked Vehicle","Not Applicable","Not Applicable","West Of",""
"649402","CR-0000085218","0","0","0","0","21-001-0825","False","False","109","1/1/2021 7:47:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","West Of",""
"649461","CR-0000085223","0","0","1","0","21-002-0419","True","False","50","1/2/2021 2:00:00 PM","No Pedestrians Involved","Wet","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Cloudy","Hit Object","Related","Fixed Object","Not Applicable","Not Applicable","North Of","Tree"
"649462","CR-0000085229","0","0","1","0","21-003-0753","False","False","150","1/3/2021 8:12:00 PM","Crossing - Not In Crosswalk","Dry","No Unusual Conditions","Dark - Street Light","Pedestrian At Fault","No Controls Present/Factor","Clear","Vehicle/Pedestrian","Non-Related","Pedestrian","West","East","North Of",""
