"CrashName","Name","Sex","Age","Speed","VehicleDamage","PartyCategory","Sobriety","VehicleDirection","MovementPrecedingCollision","PartyType","OtherAssociatedFactor","VehicleCount","ViolationCode","ViolationCodeDescription"
"CR-0000085197","ACV-0000174389","M","33","","Unknown","Driver","Impairment Not Known","West","Stopped","Car","Unknown","1","Unknown","Unknown"
"CR-0000085197","ACV-0000174390","","0","","Unknown","Driver","Impairment Not Known","West","Making Right Turn","Car","Unknown","1","Unknown","Unknown"
"CR-0000085218","ACV-0000174429","M","19","","Major","Driver","Had Not Been Drinking","East","Proceeding Straight","Car","Speeding","1","23103","Reckless Driving 2"
"CR-0000085218","ACV-0000174430","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085218","ACV-0000174431","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085218","ACV-0000174432","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085218","ACV-0000174433","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Not Applicable","Not Applicable"
"CR-0000085219","ACV-0000174434","","0","","Unknown","Driver","Impairment Not Known","South","Other Unsafe Turning","Car","Unknown","1","Unknown","Unknown"
"CR-0000085219","ACV-0000174435","","0","","Major","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Unknown","Unknown"
"CR-0000085220","ACV-0000174436","","0","","Unknown","Driver","Impairment Not Known","West","Backing","Car","Other Violation","1","Unknown","Unknown"
"CR-0000085220","ACV-0000174437","","0","","Moderate","Parked","Not Applicable","Not Applicable","Parked","Car","Unknown","1","Unknown","Unknown"
"CR-0000085221","ACV-0000174438","","61","","Unknown","Driver","Impairment Not Known","East","Proceeding Straight","Car","Unknown","1","Unknown","Unknown"
"CR-0000085221","ACV-0000174439","","0","","Unknown","Driver","Impairment Not Known","East","Other Unsafe Turning","Panel Truck","Unknown","1","Unknown","Unknown"
"CR-0000085222","ACV-0000174440","M","0","","Unknown","Driver","Impairment Not Known","North","Proceeding Straight","Car","Unknown","1","Unknown","Unknown"
"CR-0000085222","ACV-0000174441","M","68","","Unknown","Driver","Impairment Not Known","North","Stopped","Panel Truck","Unknown","1","Unknown","Unknown"
"CR-0000085223","ACV-0000174442","","0","","Unknown","Driver","Impairment Not Known","South","Ran Off Road","Car","Other Violation","1","22350","Speeding"
